date,instrument,realized_range_atr,rth_ret_pct,on_ret_pct
2021-01-26,SPY,0.5287356,-0.4203316,0.2653555
2021-01-27,SPY,1.979581,-1.533242,-0.924985
2021-01-28,SPY,1.348859,0.3614426,0.4967816
2021-01-29,SPY,1.84124,-1.464441,-0.5455075
2021-02-01,SPY,1.203776,0.6393109,1.018726
2021-02-02,SPY,0.698264,0.49252,0.9169923
2021-02-03,SPY,0.5925342,-0.1516617,0.2306382
2021-02-04,SPY,0.6349456,0.8250007,0.3090219
2021-02-09,SPY,0.3232649,0.1796945,-0.2458324
2021-02-11,SPY,0.683347,-0.1609853,0.3230107
2021-02-12,SPY,0.5878078,0.7079101,-0.2124338
2021-02-17,SPY,0.6466965,0.5020106,-0.476676
2021-02-18,SPY,0.83831,0.2977718,-0.7212212
2021-02-19,SPY,0.6581794,-0.5279265,0.3531941
2021-02-22,SPY,0.7528709,-0.007750736,-0.7614799
2021-02-24,SPY,1.895762,1.434378,-0.3277419
2021-02-25,SPY,2.820089,-2.094697,-0.3216173
2021-02-26,SPY,1.666262,-1.061284,0.5518793
2021-03-01,SPY,1.122933,1.019059,1.390788
2021-03-02,SPY,0.764268,-0.8541309,0.07443914
2021-03-03,SPY,1.004876,-1.14299,-0.1836809
2021-03-04,SPY,2.185049,-1.185667,-0.05243564
2021-03-05,SPY,1.966707,0.8464551,0.9848686
2021-03-08,SPY,0.9206366,-0.7720502,0.2763079
2021-03-09,SPY,0.651591,0.3343008,1.089804
2021-03-10,SPY,0.4346107,-0.002566801,0.6250484
2021-03-12,SPY,0.3954951,0.5024357,-0.3659187
2021-03-15,SPY,0.6119319,0.5096349,0.08628128
2021-03-17,SPY,0.6887471,0.6843066,-0.3409866
2021-03-18,SPY,0.8930811,-0.7630105,-0.6972763
2021-03-19,SPY,0.6803681,-0.1179669,-0.393379
2021-03-22,SPY,0.6719073,0.6615215,0.1360789
2021-03-23,SPY,0.7897984,-0.609865,-0.1783031
2021-03-24,SPY,0.8745333,-0.8697432,0.36457
2021-03-26,SPY,1.189092,1.278838,0.3284578
2021-03-29,SPY,0.7588442,0.362622,-0.411637
2021-03-30,SPY,0.4923438,0.0963611,-0.3613118
2021-03-31,SPY,0.5588257,0.2478816,0.1570694
2021-04-06,SPY,0.3804405,0.07145849,-0.1304262
2021-04-07,SPY,0.317965,0.1576549,-0.04185955
2021-04-12,SPY,0.4226139,0.1898457,-0.1531021
2021-04-13,SPY,0.618025,0.3134339,-0.01700515
2021-04-14,SPY,0.8278775,-0.3415201,0.0
2021-04-15,SPY,0.6930554,0.5026704,0.5687204
2021-04-19,SPY,0.9478411,-0.2522462,-0.2396587
2021-04-20,SPY,1.323091,-0.4251927,-0.3082777
2021-04-21,SPY,1.534375,1.098287,-0.1504234
2021-04-22,SPY,1.700075,-0.8751893,-0.03845507
2021-04-23,SPY,1.598073,0.9495664,0.1334077
2021-04-26,SPY,0.3693152,0.0455177,0.1631713
2021-04-27,SPY,0.5416091,-0.1076632,0.08620483
2021-04-28,SPY,0.6236673,-0.1053035,0.07664304
2021-04-30,SPY,0.6367583,-0.08858668,-0.5689663
2021-05-03,SPY,0.6046465,-0.2885005,0.5056314
2021-05-04,SPY,1.365482,-0.08894445,-0.5284553
2021-05-05,SPY,0.6981185,-0.4024627,0.435494
2021-05-06,SPY,1.490997,0.7864358,0.01202646
2021-05-07,SPY,0.925735,0.5406693,0.1861264
2021-05-10,SPY,1.239852,-1.090995,0.1018668
2021-05-11,SPY,1.30518,0.2638459,-1.153276
2021-05-12,SPY,1.85065,-1.415266,-0.7194418
2021-05-13,SPY,1.189301,0.8009434,0.3971288
2021-05-14,SPY,0.948966,0.8106865,0.7190212
2021-05-17,SPY,0.609969,0.03129589,-0.2856594
2021-05-18,SPY,0.8493248,-0.9259482,0.06497882
2021-05-19,SPY,1.096646,0.9657681,-1.216197
2021-05-20,SPY,0.9213588,0.8524176,0.2214866
2021-05-24,SPY,0.5780921,0.4264597,0.5904468
2021-05-25,SPY,0.5595292,-0.4972284,0.2767374
2021-05-26,SPY,0.333269,0.04297071,0.1554132
2021-05-27,SPY,0.2997231,-0.207064,0.2600997
2021-05-28,SPY,0.2841652,-0.2351376,0.4149872
2021-06-02,SPY,0.4203684,-0.00475794,0.1620321
2021-06-04,SPY,0.5766679,0.4444656,0.4680373
2021-06-07,SPY,0.4348081,-0.08519702,-0.01183152
2021-06-08,SPY,0.8163018,-0.2079592,0.2297544
2021-06-09,SPY,0.5348282,-0.3544842,0.2060244
2021-06-11,SPY,0.5503009,0.04479864,0.1203938
2021-06-14,SPY,0.7952276,0.1955564,0.02828121
2021-06-15,SPY,0.7580942,-0.2303389,0.04703005
2021-06-16,SPY,2.00234,-0.5887756,0.03062571
2021-06-17,SPY,1.38195,0.08301314,-0.1160835
2021-06-21,SPY,1.608437,0.9619767,0.4651499
2021-06-22,SPY,1.163081,0.5346196,0.0
2021-06-23,SPY,0.4356758,-0.1417769,0.02127106
2021-06-24,SPY,0.2791296,0.04000659,0.5513488
2021-06-28,SPY,0.5374046,0.07960106,0.1218912
2021-06-30,SPY,0.4994355,0.2060022,-0.1215805
2021-07-06,SPY,1.238116,-0.189049,0.006916905
2021-07-07,SPY,0.9586812,0.170617,0.1824775
2021-07-08,SPY,1.289171,0.5084667,-1.316577
2021-07-09,SPY,0.9986714,0.6842981,0.3805811
2021-07-12,SPY,0.7098507,0.3674107,-0.009184423
2021-07-13,SPY,0.8282474,-0.1421334,-0.1990482
2021-07-14,SPY,1.018489,-0.2606429,0.4109369
2021-07-15,SPY,0.9179792,-0.009199844,-0.3323858
2021-07-16,SPY,1.653886,-1.077883,0.2967223
2021-07-20,SPY,1.958837,1.251967,0.1788362
2021-07-21,SPY,0.5915983,0.499549,0.3085417
2021-07-22,SPY,0.4554122,0.1494906,0.05983201
2021-07-23,SPY,0.7916633,0.5416276,0.4845451
2021-07-26,SPY,0.3929279,0.3778223,-0.1318362
2021-07-27,SPY,0.9090162,-0.2113925,-0.2448869
2021-07-28,SPY,0.6617166,-0.2024015,0.1617275
2021-07-29,SPY,0.4750213,0.1841579,0.2301575
2021-07-30,SPY,0.5650335,0.1210101,-0.6059231
2021-08-02,SPY,0.8875306,-0.6335438,0.4264441
2021-08-03,SPY,1.240233,0.6158057,0.196531
2021-08-04,SPY,0.3840053,-0.1909872,-0.3014848
2021-08-05,SPY,0.4642316,0.3498251,0.282473
2021-08-09,SPY,0.4233756,-0.07684137,-0.004519876
2021-08-10,SPY,0.5098039,0.01355565,0.1108271
2021-08-12,SPY,0.9084771,0.3426588,-0.04281401
2021-08-16,SPY,1.611948,0.5330634,-0.2960172
2021-08-17,SPY,1.596781,-0.05401999,-0.6018301
2021-08-18,SPY,2.03776,-0.8466349,-0.2499775
2021-08-20,SPY,1.270706,0.7315854,0.06365662
2021-08-23,SPY,0.9734473,0.444664,0.4330567
2021-08-24,SPY,0.3552333,0.01339555,0.1453293
2021-08-25,SPY,0.5435945,0.1539423,0.05580731
2021-08-26,SPY,0.9040899,-0.5216228,-0.06905616
2021-08-27,SPY,1.158065,0.7045404,0.1882311
2021-08-31,SPY,0.4620559,-0.1326964,-0.01547885
2021-09-01,SPY,0.4576023,-0.1767565,0.2303127
2021-09-03,SPY,0.6035233,0.2345029,-0.2581699
2021-09-07,SPY,0.6287698,-0.2871278,-0.0706277
2021-09-08,SPY,0.9267139,0.0,-0.121827
2021-09-09,SPY,1.358243,-0.386049,-0.04213701
2021-09-10,SPY,2.265099,-1.248143,0.4654996
2021-09-13,SPY,1.667781,-0.4591655,0.7183908
2021-09-14,SPY,1.774438,-0.8814603,0.344843
2021-09-15,SPY,1.576098,0.7286794,0.1058153
2021-09-16,SPY,1.277636,-0.03353304,-0.1250335
2021-09-17,SPY,1.242173,-0.7978425,-0.4964555
2021-09-21,SPY,1.117557,-0.6870806,0.5967192
2021-09-22,SPY,1.088965,0.4127872,0.5603856
2021-09-23,SPY,1.07752,0.7639489,0.4476317
2021-09-24,SPY,0.6592433,0.5481438,-0.3813349
2021-09-27,SPY,0.4026917,-0.03161841,-0.2545561
2021-09-28,SPY,1.329274,-1.366748,-0.6574191
2021-09-29,SPY,0.5482647,-0.1654526,0.3343171
2021-09-30,SPY,1.354086,-1.568879,0.3521694
2021-10-01,SPY,1.491435,0.7587535,0.4264343
2021-10-04,SPY,1.227092,-1.006928,-0.2855564
2021-10-05,SPY,0.9540648,0.6436921,0.3942703
2021-10-06,SPY,1.162255,1.306809,-0.8797045
2021-10-07,SPY,0.5141285,0.03420675,0.8300759
2021-10-08,SPY,0.3959626,-0.3890165,0.20745
2021-10-11,SPY,0.9244663,-0.5513612,-0.1735715
2021-10-12,SPY,0.5368348,-0.4705396,0.225448
2021-10-13,SPY,0.7577146,0.112724,0.2467598
2021-10-14,SPY,0.7101828,0.783492,0.8915851
2021-10-18,SPY,0.696218,0.7184685,-0.4194048
2021-10-21,SPY,0.4688103,0.3984152,-0.1370438
2021-10-25,SPY,0.7613883,0.2883938,0.2471751
2021-10-27,SPY,0.8142845,-0.5586103,0.1162383
2021-10-28,SPY,0.7753603,0.6190999,0.3436578
2021-10-29,SPY,1.021059,0.7348103,-0.5280154
2021-11-03,SPY,1.204511,0.7391992,-0.1277333
2021-11-08,SPY,0.629774,-0.1533057,0.2390455
2021-11-09,SPY,1.189911,-0.4197294,0.08956561
2021-11-10,SPY,1.65767,-0.4273963,-0.3787068
2021-11-11,SPY,0.4478361,-0.2966785,0.3300116
2021-11-12,SPY,1.14404,0.455767,0.2975613
2021-11-15,SPY,0.7712503,-0.2624504,0.2974726
2021-11-16,SPY,1.037318,0.453806,-0.05776266
2021-11-17,SPY,0.516499,-0.1769836,-0.06605864
2021-11-18,SPY,1.17778,0.1065576,0.2328363
2021-11-19,SPY,0.7869535,-0.1533187,-0.02554659
2021-11-23,SPY,1.377146,0.2183359,-0.08554869
2021-11-24,SPY,1.290947,0.7079418,-0.4378564
2021-11-29,SPY,1.173361,0.1055784,1.119899
2021-11-30,SPY,1.936737,-1.393939,-0.5596212
2021-12-01,SPY,2.92945,-2.421591,1.343402
2021-12-02,SPY,1.574471,1.464064,0.06659267
2021-12-03,SPY,1.875582,-1.25656,0.3913424
2021-12-06,SPY,1.09792,0.594194,0.5866526
2021-12-07,SPY,0.6532129,0.8311442,1.227141
2021-12-08,SPY,0.4279506,0.1770893,0.08755445
2021-12-09,SPY,0.3963586,-0.3781082,-0.2981769
2021-12-10,SPY,0.5874594,0.3111149,0.6282835
2021-12-13,SPY,0.5626757,-0.7804525,-0.1062157
2021-12-14,SPY,0.7317909,0.07126968,-0.7587286
2021-12-15,SPY,1.325087,1.538395,0.02373964
2021-12-21,SPY,0.8857104,0.9461109,0.8220142
2021-12-22,SPY,0.7113918,1.054428,-0.05398868
2021-12-23,SPY,0.4999246,0.3903833,0.2309222
2021-12-29,SPY,0.4288079,0.09223545,0.03564913
2021-12-30,SPY,0.5534322,-0.3807691,0.1047164
2021-12-31,SPY,0.363658,-0.1387662,-0.1134073
2022-01-03,SPY,0.6857949,0.2644559,0.3137106
2022-01-05,SPY,1.713961,-1.858565,-0.06282065
2022-01-06,SPY,0.9547879,-0.01282051,-0.08113071
2022-01-07,SPY,0.8348455,-0.4081197,0.01282216
2022-01-11,SPY,1.496403,0.9693921,-0.0580009
2022-01-12,SPY,0.8221104,-0.1335736,0.4044705
2022-01-13,SPY,1.840587,-1.624312,0.2505201
2022-01-14,SPY,0.9444989,0.7850792,-0.7383807
2022-01-18,SPY,0.8650163,-0.7285143,-1.050095
2022-01-19,SPY,1.397769,-1.40553,0.3724068
2022-01-20,SPY,2.003558,-1.5427,0.4427227
2022-01-25,SPY,1.465565,0.2954824,-1.511913
2022-01-26,SPY,1.655162,-1.865858,1.645683
2022-01-27,SPY,1.269867,-1.572593,1.096036
2022-01-28,SPY,1.415472,2.13774,0.3385586
2022-01-31,SPY,0.9750826,1.918721,-0.1153977
2022-02-01,SPY,0.6195101,0.5126043,0.1622547
2022-02-03,SPY,0.6738366,-0.9602377,-1.403739
2022-02-04,SPY,0.8160408,0.5512729,-0.08060905
2022-02-07,SPY,0.4576975,-0.4983315,0.1782928
2022-02-08,SPY,0.614809,0.9582233,-0.1341502
2022-02-09,SPY,0.2588727,0.4941905,0.9646516
2022-02-10,SPY,1.011874,-0.4607887,-1.341959
2022-02-11,SPY,1.216033,-1.967505,-0.004451171
2022-02-14,SPY,0.6306306,-0.1955079,-0.1316805
2022-02-15,SPY,0.3279432,0.5046636,1.102455
2022-02-16,SPY,0.6872891,0.5991801,-0.4841964
2022-02-17,SPY,0.8704204,-1.380929,-0.7657859
2022-02-18,SPY,0.8354375,-0.7496971,0.1029607
2022-02-22,SPY,1.217556,-0.5509897,-0.5250674
2022-02-23,SPY,1.463843,-2.473131,0.7169961
2022-02-25,SPY,1.096686,1.887627,0.3128648
2022-02-28,SPY,0.8177481,1.017977,-1.260994
2022-03-01,SPY,1.064876,-1.181283,-0.3458306
2022-03-02,SPY,0.8369685,1.293084,0.53956
2022-03-04,SPY,0.5773781,0.1111909,-0.922632
2022-03-07,SPY,1.359689,-2.815237,-0.1365204
2022-03-08,SPY,1.249944,-0.8621716,0.1049043
2022-03-09,SPY,0.6667431,0.5292125,2.140541
2022-03-10,SPY,0.569885,0.7243975,-1.167497
2022-03-11,SPY,0.8990173,-1.898645,0.639278
2022-03-14,SPY,0.8353829,-0.9454131,0.2166306
2022-03-15,SPY,0.8117817,1.551256,0.6378897
2022-03-17,SPY,0.8108467,1.739211,-0.479776
2022-03-18,SPY,0.800479,1.532628,-0.7391117
2022-03-23,SPY,0.521312,-0.6936675,-0.5983229
2022-03-24,SPY,0.6395768,1.047508,0.45516
2022-03-28,SPY,0.7099515,0.8561189,-0.1435861
2022-03-30,SPY,0.6473988,-0.3454344,-0.2729932
2022-03-31,SPY,1.013176,-1.371419,-0.1700458
2022-04-01,SPY,0.6129722,-0.08382969,0.3675494
2022-04-04,SPY,0.6820896,0.7943513,0.06182107
2022-04-05,SPY,1.261945,-0.9226105,-0.3436953
2022-04-07,SPY,1.16776,0.6955819,-0.190361
2022-04-08,SPY,0.7689769,-0.1049013,-0.1626668
2022-04-11,SPY,0.938015,-0.94346,-0.7730634
2022-04-12,SPY,1.485071,-1.067672,0.7046736
2022-04-13,SPY,0.9764699,1.221573,-0.07529261
2022-04-14,SPY,1.114562,-1.27413,0.02932485
2022-04-18,SPY,0.6349311,0.2839283,-0.2421252
2022-04-19,SPY,1.269237,1.637472,-0.02283261
2022-04-20,SPY,0.6272663,-0.5011746,0.4291749
2022-04-26,SPY,1.27418,-2.305597,-0.60442
2022-04-27,SPY,0.9701329,-0.02635488,0.3076184
2022-04-28,SPY,1.472911,1.335955,1.1743
2022-04-29,SPY,1.716269,-2.729247,-0.9934317
2022-05-02,SPY,1.155978,0.5995,0.002427184
2022-05-03,SPY,0.5800082,0.3542937,0.1037445
2022-05-04,SPY,1.707814,2.86002,0.1801239
